time,station,pm25,lat,lon,pm25_3km,tmp,rh,hpbl,wspd,pop,road_den_1km,prim_road_len_1km,near_dist,bareland,builtup,cropland,grassland,treecover,water,ndvi,aod
2018-02-09,201,47.875,10.783057,106.700606,43.15000153,23.2555501,78.21525279,504.6214418,2.497604538,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-10,201,46.95833333,10.783057,106.700606,44.99000168,23.84706553,83.24131274,453.0868358,2.863143779,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.435255885
2018-02-11,201,54.0,10.783057,106.700606,42.70999908,24.78097675,73.80044288,453.1706651,2.362837098,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-12,201,54.95833333,10.783057,106.700606,46.47000122,25.1612469,68.73590551,522.8315303,2.474238444,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.484933078
2018-02-13,201,51.41666667,10.783057,106.700606,44.16999817,24.38651205,68.99615834,451.0215358,2.43016528,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-14,201,58.70833333,10.783057,106.700606,44.31000137,24.97840328,73.92598119,397.7865408,2.509270435,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.518119812
2018-02-15,201,52.25,10.783057,106.700606,42.81000137,25.4785814,77.4968584,428.7481461,1.870859286,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.644921899
2018-02-16,201,48.25,10.783057,106.700606,36.38999939,26.57697775,80.68996598,452.9866908,1.95762611,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.793313742
2018-02-17,201,31.125,10.783057,106.700606,25.12000084,26.16406566,80.17073235,581.4229255,2.683913397,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-18,201,21.66666667,10.783057,106.700606,17.42000008,26.2999982,85.39396841,451.105925,2.389839119,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
